Steps, Qw, Rg, Tc, Energy
472000, 0.343154540502661, 12.2773587451949, 61, -31500.6078435924
476000, 0.348040906759571, 12.6465174415345, 68, -31036.6605519828
480000, 0.328646065252575, 11.8020600949182, 61, -31889.6560471769
484000, 0.355654849417766, 11.9974339284644, 63, -31597.3120537323
488000, 0.417761328455615, 11.5480222527815, 57, -30559.0837865151
492000, 0.499393676720523, 11.3634447219254, 66, -31598.492508056
496000, 0.340473812064357, 11.6006808926084, 51, -32109.4427955299
500000, 0.328571582343838, 12.0230633993267, 56, -30025.7028550363
504000, 0.339751802566788, 11.3037166165613, 75, -31596.7176422286
508000, 0.32715932494635, 12.3361873585223, 66, -31895.4998391146
512000, 0.474125968514917, 10.8998105470052, 63, -32277.1439642527
516000, 0.382684626567369, 11.3003391892841, 72, -31918.2766769065
520000, 0.357362486988456, 12.0911511974943, 60, -32125.50390352
524000, 0.377277542787401, 11.3836783319681, 62, -31770.7270662287
528000, 0.324590314210445, 11.875328927519, 70, -31403.6742137792
532000, 0.354419879112791, 12.0981091744886, 64, -31960.1180266488
536000, 0.371444040545203, 11.4020750682214, 66, -31726.8574890206
540000, 0.408383422960861, 11.3401831110239, 63, -31153.5344440486
544000, 0.321288633995124, 12.3361099970093, 64, -31698.0886891031
548000, 0.374076440468525, 11.8845305141792, 65, -32448.5713520801
552000, 0.337581040650294, 11.6548728095014, 65, -31011.424869716
556000, 0.419353070318924, 11.2141455696222, 60, -32077.9010212711
560000, 0.337864192704204, 12.3273376231101, 64, -31259.6176965787
564000, 0.367556332096013, 12.126450485716, 53, -31812.3642124817
568000, 0.314363918634589, 12.8639640965281, 59, -31996.51011952
572000, 0.384761353054846, 13.8345863599894, 58, -31411.5078774573
576000, 0.48048328128577, 12.1202948994783, 69, -31534.8929136656
580000, 0.372612457492328, 11.9616466602194, 61, -31475.7822769955
584000, 0.440478396700955, 11.5291791004057, 61, -31917.0564253207
588000, 0.411195261336722, 11.3947403944244, 62, -30296.1440896936
592000, 0.414559395336, 11.716228409576, 61, -31015.5177580176
596000, 0.421447541505787, 11.6952272609143, 54, -32265.9733151558
600000, 0.503668909431214, 10.8326895666476, 62, -31941.8721374744
604000, 0.482577472532503, 11.240160473865, 67, -32060.4293671638
608000, 0.491772933995237, 11.381331041625, 56, -32051.829130397
612000, 0.435259642655691, 11.7445742887976, 62, -31912.1452038236
616000, 0.515763912997354, 11.7106672366636, 60, -32456.8823899858
620000, 0.40587138902222, 12.2334695703004, 53, -31889.6981626712
624000, 0.352065641381467, 12.8031885574503, 52, -32035.6805427425
628000, 0.319280045814252, 12.6133538532747, 56, -32266.316679036
632000, 0.329458746085154, 12.4935926714225, 64, -31503.2025409997
636000, 0.473295066462515, 11.3684560028061, 63, -31791.6581390845
640000, 0.535815817288049, 10.8253167867165, 64, -32725.8453439851
644000, 0.461418619866729, 11.9947404373217, 58, -31302.3744999555
648000, 0.41867594732731, 11.9604815860299, 67, -32063.2601998404
652000, 0.367264165240738, 11.7465163060341, 70, -31501.5371414869
656000, 0.452813504516835, 11.2924475769069, 66, -32217.8039628189
660000, 0.5082902265804, 10.596877889099, 80, -32313.864297262
664000, 0.330034743476489, 11.590890001979, 62, -31747.8959423904
668000, 0.374164489142461, 11.2787259546732, 57, -31261.0783023882
672000, 0.344061579625861, 13.1800108583855, 65, -31827.6333526669
676000, 0.389304665713324, 11.862992492396, 61, -31333.0154301664
680000, 0.358477505153515, 12.3128318709165, 70, -32234.1269627618
684000, 0.338380118617374, 12.2653886193305, 67, -31759.5442211888
688000, 0.384315450369936, 12.0261295770738, 64, -32363.0556619934
692000, 0.32776658001136, 12.996581977203, 59, -31444.2393147068
696000, 0.33729593461616, 13.7594843578444, 69, -31676.9325413287
700000, 0.26705277554584, 15.7251956812596, 52, -31705.2535011163
704000, 0.282881703353083, 15.3833017887626, 55, -31345.6086882622
708000, 0.27136744776897, 14.2111417454469, 59, -31102.8579398832
712000, 0.422236204444904, 12.5181218415595, 58, -31495.110209595
716000, 0.409437690667361, 11.8581805315505, 64, -31646.1719882417
720000, 0.392013977133587, 11.9330280680163, 72, -31258.7437532172
724000, 0.354688255109114, 11.8846655575799, 62, -30586.5437072238
728000, 0.304076521946729, 13.2524822296731, 59, -31365.7832019132
732000, 0.283498858352752, 13.3543791919283, 60, -30832.3525560151
736000, 0.353190675063616, 12.2019056287327, 67, -31096.8964050769
740000, 0.301277607225003, 12.2419788266343, 60, -31045.0773307432
744000, 0.368421239886282, 12.5211073733065, 67, -31660.9822373139
748000, 0.396344203026673, 11.8381594043158, 68, -32100.5407220604
752000, 0.277686114024418, 13.27319165171, 58, -31514.5624121717
756000, 0.365367951101368, 12.2032845464268, 59, -30960.4444386497
760000, 0.391384795043921, 11.4958074503124, 66, -31207.0334566465
764000, 0.382832909034424, 12.0342119630667, 69, -31591.5504523317
768000, 0.35546753869899, 12.1425708015835, 59, -31078.0907099128
772000, 0.358446164520475, 11.6357881099091, 66, -31200.9592210388
776000, 0.322762080573496, 11.8774885793568, 70, -31673.3216741617
780000, 0.317394923072598, 11.7113966338337, 69, -31287.4168468143
784000, 0.371442785062132, 12.0302028752065, 64, -31709.0383142422
788000, 0.368666404337269, 12.6694442593073, 59, -32144.972967931
792000, 0.342900097654176, 13.1240241282691, 59, -31811.4110111903
796000, 0.292263094461097, 13.4340368209723, 63, -31836.5218995972
800000, 0.336611288627071, 13.1912082118735, 65, -31742.269956178
804000, 0.314175681059728, 12.8099884254254, 67, -32130.0314116261
808000, 0.334522871980834, 13.5586166061732, 65, -31778.3134749847
812000, 0.294484601820925, 13.7000810248911, 58, -31912.4112336363
816000, 0.356888087288243, 12.8792439849774, 64, -31927.5908931002
820000, 0.326865686075616, 13.268451447434, 66, -32196.3260427246
824000, 0.335403680480379, 13.7011560528339, 58, -32007.1554019443
828000, 0.268977776316682, 13.1766416604784, 45, -31597.3719743921
832000, 0.29405014795052, 14.070419788925, 63, -31933.632988131
836000, 0.323157935316079, 12.245565595713, 64, -30889.7935699408
840000, 0.281930581053892, 14.1655449960453, 48, -30794.4976804292
844000, 0.285413989282275, 13.4587094961172, 56, -32289.3107516782
848000, 0.321175238880566, 12.9249975549848, 68, -31138.3829532358
852000, 0.303012454104821, 13.3042402083201, 64, -31144.6313807163
856000, 0.401702719762338, 11.5914799035595, 60, -32020.1134618507
860000, 0.456457918511369, 12.057563542729, 53, -31652.2506093707
864000, 0.389346214317167, 13.282863273559, 54, -31971.4988969726
868000, 0.552894659579726, 10.7297035970822, 67, -31358.2194633652
872000, 0.515160139104523, 11.0685856576264, 73, -32250.8785774758
876000, 0.521510423848273, 10.8703077063173, 62, -33043.5942933487
880000, 0.367837943102236, 11.2507725195883, 65, -31797.438466161
884000, 0.334308873654202, 12.4085347081598, 66, -31983.8883635621
888000, 0.396342420493572, 11.5804749422802, 60, -31114.240096104
892000, 0.335114698912459, 12.2572011847733, 69, -31931.7135999228
896000, 0.334049914364872, 12.2561568692328, 64, -31737.1946164519
900000, 0.362233156758596, 11.6347904394202, 74, -31996.0632352588
904000, 0.379246250250155, 11.2666008256599, 79, -32456.1065991518
908000, 0.346770947039141, 12.9344687101606, 65, -31838.2689610017
912000, 0.418431237873658, 13.11834010448, 60, -31602.3351933356
916000, 0.393165849585329, 12.7390935011429, 68, -31606.9361366163
920000, 0.405842065899486, 11.6509286763883, 72, -32051.0449512791
924000, 0.426951147640379, 12.867280313503, 62, -32589.5672565693
928000, 0.380703768823944, 11.8593452782535, 65, -31783.3109881842
932000, 0.416709611269976, 11.8504200512141, 66, -32120.2038027062
936000, 0.329861309283703, 12.0438952933124, 70, -31426.6357333926
940000, 0.376144033583356, 11.6901627717247, 77, -31938.0001242036
944000, 0.372258489312997, 11.9465691148753, 60, -31209.5609375428
948000, 0.426721286935086, 12.4058019854087, 62, -32312.84635047
952000, 0.36427681641106, 12.0333676900385, 68, -31742.6441279448
956000, 0.329236243617623, 13.6629535837293, 54, -31760.3892551782
960000, 0.289143316035766, 13.4720140804753, 63, -31568.2051642501
964000, 0.302376368682035, 14.5456889028085, 63, -31191.9128254362
968000, 0.319789496581096, 13.7049581507035, 63, -32143.9177008887
972000, 0.372444748510162, 12.5761583223659, 54, -31494.3368137238
976000, 0.399914347218091, 12.6542768962407, 57, -31870.3042422247
980000, 0.369718426777319, 12.5821482550563, 57, -30803.8182954058
984000, 0.393519717791301, 12.0594940919034, 63, -30876.7216670001
988000, 0.357998979550141, 12.6731562506919, 64, -31750.5047067009
992000, 0.360228640627014, 12.3019071493739, 64, -31301.4029004311
996000, 0.304267071945959, 13.1140902368581, 66, -31758.3114070619
1000000, 0.341929023891193, 14.1765072548137, 63, -31869.4615056973
1004000, 0.330784507679554, 13.1267490319387, 62, -31820.2544180278
1008000, 0.37320990001834, 11.9149399273135, 63, -31994.1912489883
1012000, 0.396147755534293, 12.0623624861835, 61, -31307.4981885207
1016000, 0.322921741706799, 13.037581077617, 61, -31207.468323202
1020000, 0.316358417812178, 13.0411898734169, 67, -31956.047483531
1024000, 0.305334561413272, 12.5218331047841, 63, -31438.6846530337
1028000, 0.278651612896677, 14.4344255184525, 69, -31811.2171885906
1032000, 0.296540977314542, 12.814238659074, 53, -31845.888820506
1036000, 0.305946022551729, 12.8387146487411, 51, -32025.7218234478
1040000, 0.268989184203648, 13.2818081244379, 48, -32369.5564617017
1044000, 0.30275512217735, 12.0011898025493, 69, -31825.5616973653
1048000, 0.281355215889339, 11.9728818815888, 60, -31585.6355524721
1052000, 0.29243726221164, 12.1423421854391, 66, -31281.5675657039
1056000, 0.343364443617281, 11.8366432653813, 69, -31359.3444290675
1060000, 0.269264102228918, 12.0828130176831, 60, -30613.5078288545
1064000, 0.352746693633587, 11.0380217279237, 73, -31859.9545338726
1068000, 0.314537989317132, 11.84738496833, 57, -31046.8649953901
1072000, 0.338809827664075, 13.1361036904632, 66, -31951.0714596868
1076000, 0.32171900217768, 11.9758121754696, 67, -31360.8824108212
1080000, 0.368641502233103, 11.4991288078913, 72, -31356.2916312099
1084000, 0.36626782002055, 11.9568141697962, 77, -31967.0673318483
1088000, 0.367761512346538, 12.01910402701, 64, -32113.6101944022
1092000, 0.350905845070524, 11.6964823333115, 71, -31832.7048581628
1096000, 0.32405846232562, 12.1477385078736, 65, -31686.6431776909
1100000, 0.37242505065177, 11.7947736538955, 64, -31132.436812285
1104000, 0.369024990485462, 12.1664997523956, 66, -31710.8556049134
1108000, 0.314361920692818, 12.8772346853457, 62, -31252.2722511847
1112000, 0.346757068586412, 12.5780554593826, 63, -31351.00970672
1116000, 0.326087648058565, 12.146471665223, 62, -31392.3273179545
1120000, 0.326863243368663, 12.5421971514329, 64, -31590.7239425998
1124000, 0.372405413007655, 12.1726845123234, 65, -30398.2385857691
1128000, 0.351817875311632, 12.5650587376613, 71, -31556.5246927237
1132000, 0.35779268819489, 12.3794348579574, 69, -31671.2319190847
1136000, 0.364712065562021, 11.3331703797966, 68, -31845.9238943918
1140000, 0.3467705885221, 12.2513707464025, 65, -30671.5498341376
1144000, 0.294761099249897, 13.5130562518648, 56, -31408.5811280905
1148000, 0.369912813243125, 12.5851897849274, 66, -31942.576634995
1152000, 0.411905078515412, 11.0731171809753, 83, -31818.8298320507
1156000, 0.435151081166287, 11.0726270608143, 64, -31785.5948877374
1160000, 0.365904316394266, 12.285384839132, 59, -31346.8540436111
1164000, 0.40790502346787, 10.9060911110245, 66, -30903.7217216811
1168000, 0.382489727953292, 11.8924088013008, 62, -31210.9047970772
1172000, 0.385090677753965, 11.6097631031683, 55, -32253.6319212648
1176000, 0.515964659259168, 10.5285503193191, 77, -32168.2652373767
1180000, 0.408656301645905, 11.2867972316838, 68, -32023.4122862282
1184000, 0.403032637677326, 11.5862852366468, 74, -31108.1444724637
1188000, 0.490029811792163, 10.9099607840155, 60, -32126.59008279
1192000, 0.49867193334351, 10.7737336389159, 73, -32740.6027903627
1196000, 0.458741470019644, 10.6691436854461, 81, -32656.6121206081
1200000, 0.377077736065406, 11.4998345922186, 71, -32308.1511987585
1204000, 0.329380944465295, 12.1142540230263, 64, -32065.9384369829
1208000, 0.361342622777545, 11.8926282974205, 59, -31974.7827807631
1212000, 0.386349585764155, 11.5070808190612, 58, -31882.9205075643
1216000, 0.527012384370855, 10.9164656067211, 66, -32693.1815053036
1220000, 0.360398808451957, 11.9963268404666, 67, -31770.2646419003
1224000, 0.594481279174964, 10.3802160366295, 72, -32531.7607721774
1228000, 0.566561510680194, 11.0764455692945, 73, -31941.5591784749
1232000, 0.587682174338566, 10.9261856951786, 71, -32096.1268322501
1236000, 0.477531959587737, 11.7098713176915, 69, -32232.0102501822
1240000, 0.481712219553761, 10.7487610695961, 76, -32793.6066158905
1244000, 0.578365297335582, 10.4040840016641, 80, -32750.424135311
1248000, 0.488985327647979, 11.3498088343667, 68, -32208.1322591169
1252000, 0.389076832768804, 11.9867860484924, 66, -32015.5633370923
1256000, 0.425405008780335, 11.4890490613512, 57, -31946.5683557262
1260000, 0.340784037564094, 11.9240309480982, 60, -32341.7220079371
1264000, 0.347807700536923, 11.8362762933819, 67, -32138.2575717417
1268000, 0.393010323387603, 11.3218649861857, 67, -32465.3123584698
1272000, 0.409134714204703, 11.6848525273716, 66, -32228.5715858023
1276000, 0.397081211162148, 11.5591849643268, 54, -32117.1140680107
1280000, 0.358302989162581, 11.1223701320639, 57, -31980.6123792837
1284000, 0.332887474504544, 11.7760424803041, 65, -31441.2414214046
1288000, 0.304488014461225, 11.3481408826803, 64, -31608.0351300251
1292000, 0.331381616104471, 12.6860249077623, 61, -31356.2091006176
1296000, 0.302102629457973, 12.3763344806142, 64, -31283.9807848326
1300000, 0.317338161205842, 12.7690004003989, 59, -31104.7571188475
1304000, 0.332705435035981, 12.5465366935073, 65, -32306.8513821606
1308000, 0.322602220964102, 12.815262484839, 54, -31659.0070797145
1312000, 0.274152034552956, 13.9403592813803, 61, -31956.4704257031
1316000, 0.303453036082699, 13.7286598599507, 65, -31812.7243739807
1320000, 0.304795845809079, 12.4307957442441, 64, -32285.1971630774
1324000, 0.281306283871296, 13.4716865052565, 62, -32038.554727913
1328000, 0.305152085589347, 14.3485435024102, 63, -32006.9513348003
1332000, 0.307802231531214, 13.5110207538151, 61, -31892.3278754992
1336000, 0.45872062367403, 12.7377332660338, 60, -32234.3657248194
1340000, 0.405923845260145, 12.0807478804602, 71, -32944.8033190121
1344000, 0.364239645486089, 12.3996781181329, 65, -32103.7144242314
1348000, 0.378283348925172, 12.1532090794911, 67, -32499.813249487
1352000, 0.361186121311121, 12.7857358421754, 58, -32769.522522028
1356000, 0.435795459259085, 12.6898470551387, 65, -32748.4931854743
1360000, 0.429281950385256, 13.0477690566222, 68, -32850.7890866178
1364000, 0.437001928552499, 11.9757739383241, 67, -32800.3748164936
1368000, 0.387479477729291, 12.2847211114194, 62, -32279.1085046376
1372000, 0.357747140022911, 13.6365667705732, 59, -32363.2647740073
1376000, 0.37879982035647, 13.2838218776762, 62, -32138.5280936108
1380000, 0.38743690648901, 12.8424614128904, 60, -32562.4218742266
1384000, 0.43225134656694, 11.5840706579862, 63, -31517.2725760701
1388000, 0.438725346459476, 12.4546257617581, 62, -32521.3210794324
1392000, 0.529987947186764, 10.9550957600795, 71, -32683.1708057729
1396000, 0.420594202227736, 12.4182122223741, 59, -32861.1137633755
1400000, 0.445232275140903, 11.8914329339792, 61, -32339.534558768
1404000, 0.510489018364243, 11.3909734410827, 74, -32131.958133564
1408000, 0.410034007125588, 11.4816597381976, 63, -32331.0568828203
1412000, 0.557423148295558, 11.1564935990464, 69, -32701.0262189609
1416000, 0.557237038498093, 11.1025616860544, 72, -32613.8057263698
1420000, 0.53950671710911, 10.5727926147, 64, -32451.3548770254
1424000, 0.508816166567486, 10.7103346655266, 66, -32293.7098379219
1428000, 0.496674172582516, 10.9180255173895, 68, -32259.6857538034
1432000, 0.473255097332987, 10.8179356234326, 67, -32218.6049100015
1436000, 0.448522028330911, 11.7181256978568, 79, -32597.1297652142
1440000, 0.554986830270321, 10.7599630967382, 70, -32212.242800456
1444000, 0.501956205980787, 10.7129003626751, 80, -32806.0264225874
1448000, 0.490957474384439, 11.477645562964, 57, -31835.88784966
1452000, 0.381712511953605, 11.9770976759029, 63, -31934.295800306
1456000, 0.384701866068964, 11.6002119100399, 70, -32530.5782569981
1460000, 0.393507296115519, 11.9596287047766, 61, -31667.6416231467
1464000, 0.499771171711243, 10.9550449708824, 73, -32702.1990365788
1468000, 0.520172748351381, 11.199717714121, 72, -32510.0583822518
1472000, 0.57894931543088, 10.6724167120978, 74, -32843.2842098845
1476000, 0.578929014844649, 10.6693905225544, 57, -32285.0794388738
1480000, 0.536509972828915, 10.5429576496225, 75, -32671.6687517534
1484000, 0.46450314805523, 10.8392186580967, 74, -32803.2006134545
1488000, 0.568343790586347, 10.7641822971404, 67, -32454.7652397267
1492000, 0.566983411641503, 11.0608296401961, 68, -32439.5996033304
1496000, 0.488901537783581, 11.4204406472628, 66, -31759.2850256301
1500000, 0.412929665756533, 11.4627686533333, 71, -32726.9703804073
1504000, 0.420910403910784, 11.4227393310884, 71, -32014.700476233
1508000, 0.379982483386668, 11.8954487909856, 60, -32050.3869225751
1512000, 0.431603101497965, 11.0431154686783, 58, -31861.4764447705
1516000, 0.388213735060263, 11.4219180677928, 59, -31008.0521861823
1520000, 0.333309490768556, 11.7717069116127, 56, -31683.3604147694
1524000, 0.329147369713234, 12.4970689062783, 65, -31765.8556857523
1528000, 0.314676932470842, 12.9428116945831, 59, -31896.5586828183
1532000, 0.303970681470956, 13.1635186992131, 61, -31877.5848236299
1536000, 0.343103724575867, 12.0095049510049, 74, -32547.8845284703
1540000, 0.411595186025662, 11.4172764162053, 68, -32377.954693959
1544000, 0.499595415625509, 10.5931582101895, 69, -31977.7283985504
1548000, 0.49303986997887, 10.8855194781635, 75, -32082.0108791352
1552000, 0.452781008074086, 11.4377395571284, 69, -32344.7989699917
1556000, 0.512858414446713, 10.914718543177, 60, -32501.6272521638
1560000, 0.555740493486959, 11.3279462508789, 64, -32387.2299956977
1564000, 0.444980096709735, 10.6822930492906, 78, -32614.4629531067
1568000, 0.417835166663084, 10.9280826039777, 69, -32215.9231459041
1572000, 0.491281960902876, 10.6529381828475, 72, -32440.7996306017
1576000, 0.466072356048174, 10.5639154102439, 66, -32174.9823754283
1580000, 0.592817995719455, 10.5025463298931, 70, -32402.6334957362
1584000, 0.612726665605572, 10.4317181412154, 72, -33160.2492508717
1588000, 0.529307379641902, 10.8055936862967, 73, -32211.0019217445
1592000, 0.382094995372729, 10.9042694914032, 61, -31577.6626892611
1596000, 0.455221341700975, 10.7150707616693, 74, -32723.6625481927
1600000, 0.40688759702693, 11.1766938111697, 71, -32313.9570832368
1604000, 0.391263086165831, 12.4279385585374, 72, -31863.7368679329
1608000, 0.344810116956133, 11.6366516444256, 64, -32555.5157925753
1612000, 0.393504042620343, 12.4299773362935, 59, -31947.8187073881
1616000, 0.333039894898619, 13.3850837938659, 61, -31798.5491716874
1620000, 0.347743055169608, 12.9202634936611, 71, -32528.5017960699
1624000, 0.427764986595586, 11.8392501600973, 67, -32619.8587421905
1628000, 0.40986162369872, 12.0526254620673, 67, -32248.0645253062
1632000, 0.400337494137166, 12.3046893987785, 56, -31935.7650848259
1636000, 0.421087709232195, 11.1357952277207, 68, -32078.2801156242
1640000, 0.383594049618391, 11.7778996057584, 73, -31988.7263352209
1644000, 0.45970304749802, 11.5638015918323, 63, -31989.3432913146
1648000, 0.423710144294042, 11.3695910600585, 73, -32467.20784277
1652000, 0.55981489153036, 10.9211427535842, 67, -32281.3595994293
1656000, 0.402731480522791, 11.5975237974097, 72, -32770.4272393608
1660000, 0.515414315376297, 10.9964823401222, 69, -32619.1668965763
1664000, 0.457355161019649, 11.2571392622981, 62, -31987.8983219895
1668000, 0.443067170123236, 11.4491609793755, 58, -32266.6438268848
1672000, 0.404005703005257, 11.4980058349428, 63, -32714.8837638705
1676000, 0.403425232349835, 11.4081419144959, 67, -32555.9249743098
